Time (ns),Observed Counts,IRF Used,Fitted Counts,Tau (ns),Shift (ns),Chi^2
1.256,-0.073235686,-0.101198402,-0.001808777,,,
1.26,-0.073235686,-0.101198402,-0.001851265,,,
1.264,-0.073235686,-0.101198402,-0.001893683,,,
1.268,-0.073235686,-0.101198402,-0.001936029,,,
1.272,0.926764314,-0.101198402,-0.001978306,,,
1.276,-0.073235686,-0.101198402,-0.002020512,,,
1.28,-0.073235686,-0.101198402,-0.002062649,,,
1.284,-0.073235686,-0.101198402,-0.002104715,,,
1.288,-0.073235686,0.898801598,-0.001697194,,,
1.292,-0.073235686,-0.101198402,-0.001739867,,,
1.296,-0.073235686,-0.101198402,-0.001782469,,,
1.3,-0.073235686,-0.101198402,-0.001825,,,
1.304,-0.073235686,-0.101198402,-0.001867461,,,
1.308,-0.073235686,0.898801598,-0.001460334,,,
1.312,-0.073235686,-0.101198402,-0.0015034,,,
1.316,-0.073235686,-0.101198402,-0.001546395,,,
1.32,-0.073235686,-0.101198402,-0.001589318,,,
1.324,-0.073235686,-0.101198402,-0.00163217,,,
1.328,0.926764314,-0.101198402,-0.001674951,,,
1.332,-0.073235686,-0.101198402,-0.001717661,,,
1.336,-0.073235686,-0.101198402,-0.0017603,,,
1.34,-0.073235686,-0.101198402,-0.001802869,,,
1.344,-0.073235686,-0.101198402,-0.001845366,,,
1.348,-0.073235686,-0.101198402,-0.001887793,,,
1.352,-0.073235686,0.898801598,-0.001480632,,,
1.356,-0.073235686,-0.101198402,-0.001523664,,,
1.36,0.926764314,-0.101198402,-0.001566626,,,
1.364,-0.073235686,-0.101198402,-0.001609515,,,
1.368,-0.073235686,-0.101198402,-0.001652334,,,
1.372,-0.073235686,-0.101198402,-0.001695081,,,
1.376,-0.073235686,-0.101198402,-0.001737758,,,
1.38,-0.073235686,-0.101198402,-0.001780364,,,
1.384,0.926764314,-0.101198402,-0.001822899,,,
1.388,-0.073235686,0.898801598,-0.001415845,,,
1.392,-0.073235686,-0.101198402,-0.001458985,,,
1.396,0.926764314,-0.101198402,-0.001502054,,,
1.4,-0.073235686,-0.101198402,-0.001545051,,,
1.404,-0.073235686,-0.101198402,-0.001587976,,,
1.408,-0.073235686,-0.101198402,-0.001630831,,,
1.412,-0.073235686,-0.101198402,-0.001673614,,,
1.416,-0.073235686,-0.101198402,-0.001716326,,,
1.42,-0.073235686,-0.101198402,-0.001758967,,,
1.424,-0.073235686,-0.101198402,-0.001801538,,,
1.428,-0.073235686,-0.101198402,-0.001844038,,,
1.432,-0.073235686,-0.101198402,-0.001886467,,,
1.436,-0.073235686,-0.101198402,-0.001928826,,,
1.44,-0.073235686,-0.101198402,-0.001971114,,,
1.444,-0.073235686,-0.101198402,-0.002013333,,,
1.448,-0.073235686,-0.101198402,-0.002055481,,,
1.452,-0.073235686,0.898801598,-0.001648041,,,
1.456,-0.073235686,-0.101198402,-0.001690796,,,
1.46,-0.073235686,-0.101198402,-0.00173348,,,
1.464,-0.073235686,-0.101198402,-0.001776092,,,
1.468,-0.073235686,-0.101198402,-0.001818634,,,
